	time	current	center_wavelength
0	2019-12-12 13:52:53.991	177.457	1558.4426
1	2019-12-12 13:52:54.506	177.457	1558.4418
2	2019-12-12 13:52:55.022	177.457	1558.4467
3	2019-12-12 13:52:55.535	177.457	1558.4479
4	2019-12-12 13:52:56.054	177.457	1558.4416
5	2019-12-12 13:52:56.571	177.457	1558.4384
6	2019-12-12 13:52:57.083	177.457	1558.4427
7	2019-12-12 13:52:57.600	177.457	1558.4437
8	2019-12-12 13:52:58.114	177.457	1558.4331
9	2019-12-12 13:52:58.629	177.457	1558.4279
10	2019-12-12 13:52:59.147	177.457	1557.8642
11	2019-12-12 13:52:59.663	177.457	1558.4336
12	2019-12-12 13:53:00.177	177.457	1558.437
13	2019-12-12 13:53:00.696	177.457	1558.434
14	2019-12-12 13:53:01.223	177.457	1558.4179
15	2019-12-12 13:53:01.742	177.457	1558.4287
16	2019-12-12 13:53:02.259	134.9581	1558.4263
17	2019-12-12 13:53:02.773	134.9581	1558.4225
18	2019-12-12 13:53:03.287	134.9581	1558.4156
19	2019-12-12 13:53:03.803	134.9581	1558.464
20	2019-12-12 13:53:04.319	139.9211	1558.5709
21	2019-12-12 13:53:04.833	139.9211	1558.6237
22	2019-12-12 13:53:05.350	139.9211	1558.7775
23	2019-12-12 13:53:05.865	139.9211	1558.6523
24	2019-12-12 13:53:06.382	139.9211	1558.677
25	2019-12-12 13:53:06.900	141.8485	1558.642
26	2019-12-12 13:53:07.416	141.8485	1558.6567
27	2019-12-12 13:53:07.942	141.8485	1558.6012
28	2019-12-12 13:53:08.459	141.8485	1558.6573
29	2019-12-12 13:53:08.976	149.9436	1558.5638
30	2019-12-12 13:53:09.495	149.9436	1558.5997
31	2019-12-12 13:53:10.021	149.9436	1558.3651
32	2019-12-12 13:53:10.539	149.9436	1558.6448
33	2019-12-12 13:53:11.053	154.9548	1558.5589
34	2019-12-12 13:53:11.570	154.9548	1558.8868
35	2019-12-12 13:53:12.087	154.9548	1558.365
36	2019-12-12 13:53:12.600	154.9548	1558.5642
37	2019-12-12 13:53:13.117	159.9178	1558.4256
38	2019-12-12 13:53:13.635	159.9178	1558.3341
39	2019-12-12 13:53:14.164	159.9178	1558.6643
40	2019-12-12 13:53:14.682	159.9178	1558.6988
41	2019-12-12 13:53:15.209	164.929	1558.595
42	2019-12-12 13:53:15.726	164.929	1558.5542
43	2019-12-12 13:53:16.242	164.929	1558.4433
44	2019-12-12 13:53:16.757	164.929	1558.444
45	2019-12-12 13:53:17.273	169.9402	1558.4502
46	2019-12-12 13:53:17.788	169.9402	1558.4539
47	2019-12-12 13:53:18.303	169.9402	1558.4634
48	2019-12-12 13:53:18.817	169.9402	1558.4599
49	2019-12-12 13:53:19.335	172.4458	1558.4625
50	2019-12-12 13:53:19.852	172.4458	1558.4574
51	2019-12-12 13:53:20.363	172.4458	1558.4494
52	2019-12-12 13:53:20.883	172.4458	1558.4542
53	2019-12-12 13:53:21.397	176.3006	1558.4464
54	2019-12-12 13:53:21.912	176.3006	1558.441
55	2019-12-12 13:53:22.429	176.3006	1558.4413
56	2019-12-12 13:53:22.944	176.3006	1558.4186
